Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
RækkehusRRækkehus Toftegade 16  7760 Hurup Thy,375.000 kr.,27-11-2025Alm. Salg,60 m² 6.250 kr/m²,2,1976,-5%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Brønshøjvej 13, 3.  2700 Brønshøj",2.323.200 kr.,27-11-2025Fam. Salg,92 m² 25.252 kr/m²,3,1934,,Aktuel værdi
VillaVVilla Esrumvej 38  3000 Helsingør,4.300.000 kr.,27-11-2025Alm. Salg,156 m² 27.564 kr/m²,6,1901,-4%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Brogårdsvej 137, 1. th  2820 Gentofte",2.970.000 kr.,27-11-2025Alm. Salg,85 m² 34.941 kr/m²,4,1946,,Aktuel værdi
VillaVVilla Astersvænget 2  7730 Hanstholm,598.807 kr.,27-11-2025Fam. Salg,78 m² 7.677 kr/m²,3,1962,,Aktuel værdi
"FritidshusFFritidshus Engelstskovvej 51, Færker Vig  7884 Fur",535.200 kr.,27-11-2025Fam. Salg,77 m² 6.951 kr/m²,3,1978,,Aktuel værdi
"VillaVVilla Hejlskovsving 12, Fredsø  7900 Nykøbing M",745.000 kr.,27-11-2025Alm. Salg,96 m² 7.760 kr/m²,4,1965,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Tværbommen 19, 3.  2820 Gentofte",3.900.000 kr.,27-11-2025Alm. Salg,81 m² 48.148 kr/m²,3,1946,,Aktuel værdi
"VillaVVilla Skolestrædet 3, Ferslev  4050 Skibby",700.000 kr.,27-11-2025Andet,86 m² 8.140 kr/m²,3,1880,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Silkeborggade 38, 3. tv  2100 København Ø",3.500.000 kr.,27-11-2025Fam. Salg,64 m² 54.688 kr/m²,2,1913,,Aktuel værdi
VillaVVilla Bredager 62  2670 Greve,4.475.000 kr.,27-11-2025Alm. Salg,125 m² 35.800 kr/m²,4,1970,,Aktuel værdi
"VillaVVilla Østergade 46, Østrup  9600 Aars",290.000 kr.,27-11-2025Alm. Salg,83 m² 3.494 kr/m²,3,1948,,Aktuel værdi
"FritidshusFFritidshus Lyngengen 28, Nakke  4500 Nykøbing Sj",2.050.000 kr.,27-11-2025Alm. Salg,72 m² 28.472 kr/m²,3,1979,-5%,Aktuel værdi
VillaVVilla Varnæsvej 62  6200 Aabenraa,4.510.000 kr.,27-11-2025Alm. Salg,257 m² 17.549 kr/m²,6,2008,-10%,Aktuel værdi
"VillaVVilla Abildhøj 14, Næsby  5270 Odense N",3.495.000 kr.,27-11-2025Alm. Salg,166 m² 21.054 kr/m²,5,1986,,Aktuel værdi
"VillaVVilla Starup Højvænge 13, Starup  6100 Haderslev",1.045.000 kr.,26-11-2025Alm. Salg,132 m² 7.917 kr/m²,3,1968,-9%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Birketinget 2D, 2. 421  2300 København S",2.100.000 kr.,26-11-2025Fam. Salg,42 m² 50.000 kr/m²,1,1970,,Aktuel værdi
RækkehusRRækkehus Th. Petersens Vej 11  3330 Gørløse,3.495.000 kr.,26-11-2025Alm. Salg,138 m² 25.326 kr/m²,4,2007,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Fagotvej 14, 1. th  2730 Herlev",2.500.000 kr.,26-11-2025Alm. Salg,85 m² 29.412 kr/m²,3,1956,-4%,Aktuel værdi
VillaVVilla Fasanvænget 42  4040 Jyllinge,3.695.000 kr.,26-11-2025Alm. Salg,170 m² 21.735 kr/m²,3,1996,,Aktuel værdi
"FritidshusFFritidshus Bækkene 210, Enø  4736 Karrebæksminde",1.320.000 kr.,26-11-2025Alm. Salg,62 m² 21.290 kr/m²,3,1966,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Lille Strandvej 26, 4. 4  2900 Hellerup",5.525.000 kr.,26-11-2025Alm. Salg,70 m² 78.929 kr/m²,2,1956,5%,Aktuel værdi
RækkehusRRækkehus Sandkrogen 12  2800 Kongens Lyngby,6.995.000 kr.,26-11-2025Alm. Salg,90 m² 77.722 kr/m²,4,1948,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Frimestervej 40, 2. th  2400 København NV",2.010.000 kr.,26-11-2025Fam. Salg,58 m² 34.655 kr/m²,2,1937,,Aktuel værdi
VillaVVilla Assensvej 332  5642 Millinge,3.335.000 kr.,26-11-2025Alm. Salg,251 m² 13.287 kr/m²,6,2010,-7%,Aktuel værdi
"VillaVVilla Højlundvej 4, Ølby  7600 Struer",4.500.000 kr.,26-11-2025Alm. Salg,246 m² 18.293 kr/m²,5,2023,,Aktuel værdi
EjerlejlighedEEjerlejlighed Egelykkeparken 20D  2670 Greve,2.250.000 kr.,26-11-2025Alm. Salg,67 m² 33.582 kr/m²,3,2002,-2%,Aktuel værdi
VillaVVilla Østerhåbsvej 16  8700 Horsens,1.450.000 kr.,26-11-2025Alm. Salg,109 m² 13.303 kr/m²,4,1969,,Aktuel værdi
"FritidshusFFritidshus Rørsangervej 6, Agger  7770 Vestervig",1.070.000 kr.,26-11-2025Alm. Salg,102 m² 10.490 kr/m²,5,1979,-10%,Aktuel værdi
VillaVVilla Haurowitzvej 27  8700 Horsens,2.875.000 kr.,26-11-2025Alm. Salg,126 m² 22.817 kr/m²,4,1959,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Vermlandsgade 74, 5. tv  2300 København S",3.800.000 kr.,26-11-2025Alm. Salg,57 m² 66.667 kr/m²,2,1931,,Aktuel værdi
"VillaVVilla Kildeparken 45, Syvendekøb  4440 Mørkøv",3.725.000 kr.,26-11-2025Alm. Salg,186 m² 20.027 kr/m²,5,2010,-2%,Aktuel værdi
"FritidshusFFritidshus Birkealle 15, Lodbj Hede  6950 Ringkøbing",2.400.000 kr.,26-11-2025Alm. Salg,120 m² 20.000 kr/m²,4,2005,-8%,Aktuel værdi
RækkehusRRækkehus Nr Alslev Syrenvej 14  4840 Nørre Alslev,750.000 kr.,26-11-2025Alm. Salg,77 m² 9.740 kr/m²,3,1972,,Aktuel værdi
VillaVVilla Gyvelvej 7  5560 Aarup,2.245.000 kr.,26-11-2025Alm. Salg,190 m² 11.816 kr/m²,4,1968,,Aktuel værdi
VillaVVilla Vorkvej 21  6040 Egtved,1.660.000 kr.,26-11-2025Alm. Salg,140 m² 11.857 kr/m²,5,1967,-5%,Aktuel værdi
RækkehusRRækkehus Kollegiehaven 36  2920 Charlottenlund,10.650.000 kr.,26-11-2025Alm. Salg,113 m² 94.248 kr/m²,5,1942,,Aktuel værdi
"FritidshusFFritidshus Lærkevej 22, Maarup  8305 Samsø",768.000 kr.,26-11-2025Fam. Salg,58 m² 13.241 kr/m²,3,1971,,Aktuel værdi
EjerlejlighedEEjerlejlighed Maglekæret 4G  2680 Solrød Strand,2.940.000 kr.,25-11-2025Alm. Salg,109 m² 26.972 kr/m²,4,1986,-2%,Aktuel værdi
RækkehusRRækkehus Lundedammen 2C  2605 Brøndby,4.001.000 kr.,25-11-2025Alm. Salg,86 m² 46.523 kr/m²,3,2004,5%,Aktuel værdi
"VillaVVilla Tobovej 63, Gundestrup  5690 Tommerup",400.000 kr.,25-11-2025Alm. Salg,70 m² 5.714 kr/m²,2,1877,,Aktuel værdi
VillaVVilla Kaningårdsvej 16  2830 Virum,14.000.000 kr.,25-11-2025Alm. Salg,235 m² 59.574 kr/m²,9,2014,-2%,Aktuel værdi
RækkehusRRækkehus Egeskovvej 35  2665 Vallensbæk Strand,3.295.000 kr.,25-11-2025Alm. Salg,98 m² 33.622 kr/m²,4,2002,,Aktuel værdi
VillaVVilla Tornager 10  7120 Vejle Øst,2.300.000 kr.,25-11-2025Fam. Salg,142 m² 16.197 kr/m²,5,1984,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Guldblommevej 20, 2. tv  2770 Kastrup",2.500.000 kr.,25-11-2025Fam. Salg,73 m² 34.247 kr/m²,3,1939,,Aktuel værdi
RækkehusRRækkehus Lindehegnet 54  2670 Greve,3.675.000 kr.,25-11-2025Alm. Salg,128 m² 28.711 kr/m²,4,1999,-1%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Skoleholdervej 50, 3. tv  2400 København NV",2.100.000 kr.,25-11-2025Fam. Salg,65 m² 32.308 kr/m²,2,1936,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Topperne 3, 1. 11  2620 Albertslund",2.510.000 kr.,25-11-2025Alm. Salg,100 m² 25.100 kr/m²,4,1972,1%,Aktuel værdi
VillaVVilla Brøndsalle 37  8700 Horsens,1.897.000 kr.,25-11-2025Alm. Salg,168 m² 11.292 kr/m²,5,1957,,Aktuel værdi
"VillaVVilla Søndervang 39, Mammen  8850 Bjerringbro",2.145.000 kr.,25-11-2025Alm. Salg,149 m² 14.396 kr/m²,6,2008,-2%,Aktuel værdi
"VillaVVilla Stationsvej 4, Tornby  9850 Hirtshals",275.000 kr.,25-11-2025Alm. Salg,74 m² 3.716 kr/m²,3,1969,,Aktuel værdi
"VillaVVilla Auningvej 49, Gjesing  8963 Auning",150.000 kr.,25-11-2025Alm. Salg,164 m² 915 kr/m²,6,1850,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Folehaven 96, st. tv  2500 Valby",2.300.000 kr.,25-11-2025Alm. Salg,56 m² 41.071 kr/m²,2,1939,,Aktuel værdi
"VillaVVilla Fanefjordgade 37, Askeby  4792 Askeby",750.000 kr.,25-11-2025Alm. Salg,147 m² 5.102 kr/m²,4,1875,-6%,Aktuel værdi
VillaVVilla Vesterkærsvej 35  2650 Hvidovre,5.700.000 kr.,25-11-2025Alm. Salg,155 m² 36.774 kr/m²,5,1966,,Aktuel værdi
"FritidshusFFritidshus Løngangsstræde 10, Hummingen  4983 Dannemare",900.000 kr.,25-11-2025Alm. Salg,78 m² 11.538 kr/m²,3,1979,-5%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Løvegade 22B, 2. tv  4200 Slagelse",1.450.000 kr.,25-11-2025Alm. Salg,87 m² 16.667 kr/m²,3,1851,-3%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Frederiksdal Alle 28C, st. th  7800 Skive",395.000 kr.,25-11-2025Alm. Salg,45 m² 8.778 kr/m²,2,1956,,Aktuel værdi
"FritidshusFFritidshus Ravnsmarkvej 3, Hegedal Strand  8585 Glesborg",1.295.000 kr.,25-11-2025Alm. Salg,65 m² 19.923 kr/m²,4,1995,,Aktuel værdi
VillaVVilla Blommevang 4  3550 Slangerup,3.200.000 kr.,25-11-2025Alm. Salg,139 m² 23.022 kr/m²,3,1975,7%,Aktuel værdi
"FritidshusFFritidshus Toldervej 30, Ho  6857 Blåvand",1.280.000 kr.,25-11-2025Fam. Salg,64 m² 20.000 kr/m²,3,1977,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Jens Benzons Gade 2, st.  5000 Odense C",2.300.000 kr.,25-11-2025Fam. Salg,100 m² 23.000 kr/m²,5,1880,,Aktuel værdi
RækkehusRRækkehus Rubinolavej 25  2500 Valby,7.995.000 kr.,25-11-2025Alm. Salg,149 m² 53.658 kr/m²,6,2018,,Aktuel værdi
FritidshusFFritidshus Abildgården 27  3390 Hundested,3.000.000 kr.,25-11-2025Alm. Salg,73 m² 41.096 kr/m²,4,1963,4%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Straussvej 14, 1. mf  2450 København SV",2.800.000 kr.,25-11-2025Alm. Salg,45 m² 62.222 kr/m²,2,1934,-3%,Aktuel værdi
VillaVVilla Hedevej 15  4270 Høng,1.770.000 kr.,25-11-2025Alm. Salg,175 m² 10.114 kr/m²,4,1900,-1%,Aktuel værdi
RækkehusRRækkehus Ved Stampedammen 38  2970 Hørsholm,6.000.000 kr.,25-11-2025Alm. Salg,117 m² 51.282 kr/m²,5,1963,-3%,Aktuel værdi
VillaVVilla Hedegaardsvej 12  7900 Nykøbing M,5.425.000 kr.,25-11-2025Alm. Salg,218 m² 24.885 kr/m²,5,2019,-6%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Vestergade 30, st. th  7600 Struer",235.000 kr.,25-11-2025Alm. Salg,47 m² 5.000 kr/m²,2,1915,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Vestbanevej 8, 3. th  2500 Valby",5.095.000 kr.,25-11-2025Alm. Salg,80 m² 63.688 kr/m²,3,1935,-2%,Aktuel værdi
"FritidshusFFritidshus Røllikevej 13, Ordrup  4540 Fårevejle",1.567.000 kr.,25-11-2025Alm. Salg,50 m² 31.340 kr/m²,4,1971,4%,Aktuel værdi
"VillaVVilla Højtholmvej 7, Tyrsting  8740 Brædstrup",345.000 kr.,25-11-2025Alm. Salg,124 m² 2.782 kr/m²,6,1952,-10%,Aktuel værdi
VillaVVilla Kirsebærvej 64  7800 Skive,1.175.000 kr.,25-11-2025Alm. Salg,132 m² 8.902 kr/m²,4,1980,-2%,Aktuel værdi
"FritidshusFFritidshus Patricksvej 51B, Vesterhave  4736 Karrebæksminde",432.000 kr.,24-11-2025Fam. Salg,24 m² 18.000 kr/m²,2,1958,,Aktuel værdi
RækkehusRRækkehus Røjlevangen 104  2630 Taastrup,3.400.000 kr.,24-11-2025Alm. Salg,107 m² 31.776 kr/m²,4,1967,0%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Århusgade 79, 2. tv  2100 København Ø",8.405.000 kr.,24-11-2025Alm. Salg,109 m² 77.110 kr/m²,4,1917,-1%,Aktuel værdi
FritidshusFFritidshus Hyllingebjergvej 45  3360 Liseleje,1.770.000 kr.,24-11-2025Fam. Salg,78 m² 22.692 kr/m²,5,1967,,Aktuel værdi
VillaVVilla Stenhusvej 1  3540 Lynge,4.455.000 kr.,24-11-2025Alm. Salg,108 m² 41.250 kr/m²,5,1934,5%,Aktuel værdi
FritidshusFFritidshus Hf. Selandia 92  2770 Kastrup,977.557 kr.,24-11-2025Fam. Salg,45 m² 21.723 kr/m²,2,1999,,Aktuel værdi
"VillaVVilla Viborgvej 14, Karup  7470 Karup J",400.000 kr.,24-11-2025Andet,101 m² 3.960 kr/m²,3,1936,,Aktuel værdi
LandejendomLLandejendom Sveltekrogen 3  5854 Gislev,1.440.000 kr.,24-11-2025Alm. Salg,239 m² 6.025 kr/m²,6,1850,-4%,Aktuel værdi
"FritidshusFFritidshus Skikkild Bjerge 84, Arrild  6520 Toftlund",468.000 kr.,24-11-2025Fam. Salg,76 m² 6.158 kr/m²,4,1995,,Aktuel værdi
RækkehusRRækkehus Birthevej 5A  4040 Jyllinge,3.275.000 kr.,24-11-2025Alm. Salg,112 m² 29.241 kr/m²,4,2022,,Aktuel værdi
FritidshusFFritidshus Bjørnsknudevej 40B  7130 Juelsminde,3.179.200 kr.,24-11-2025Fam. Salg,62 m² 51.277 kr/m²,3,1968,,Aktuel værdi
"VillaVVilla Løserupvej 5, Udby  4300 Holbæk",1.200.000 kr.,24-11-2025Alm. Salg,149 m² 8.054 kr/m²,5,1900,,Aktuel værdi
"RækkehusRRækkehus Degnevænget 6, Kirke Stillinge  4200 Slagelse",1.750.000 kr.,24-11-2025Alm. Salg,107 m² 16.355 kr/m²,3,2005,-7%,Aktuel værdi
"VillaVVilla Halskovvej 14, Halskov  4871 Horbelev",1.395.000 kr.,24-11-2025Alm. Salg,207 m² 6.739 kr/m²,9,1904,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Messinavej 3, 3. th  2300 København S",2.200.000 kr.,24-11-2025Fam. Salg,60 m² 36.667 kr/m²,2,1932,,Aktuel værdi
FritidshusFFritidshus Hyllingebjergvej 95  3360 Liseleje,3.865.000 kr.,24-11-2025Fam. Salg,113 m² 34.204 kr/m²,6,1997,,Aktuel værdi
VillaVVilla Ingemannsvej 30  7500 Holstebro,2.465.000 kr.,24-11-2025Alm. Salg,142 m² 17.359 kr/m²,5,1969,,Aktuel værdi
"VillaVVilla Sejerbyvej 53, Sejerby  4592 Sejerø",200.000 kr.,24-11-2025Alm. Salg,233 m² 858 kr/m²,6,1890,-58%,Aktuel værdi
"VillaVVilla Præstbrovej 186, Erslev  7950 Erslev",730.000 kr.,24-11-2025Alm. Salg,118 m² 6.186 kr/m²,6,1910,-8%,Aktuel værdi
"VillaVVilla Hovmøllevej 5, Ø Hvidbjerg  7960 Karby",550.000 kr.,24-11-2025Alm. Salg,176 m² 3.125 kr/m²,5,1947,,Aktuel værdi
RækkehusRRækkehus Adelgade 109  4720 Præstø,2.000.000 kr.,24-11-2025Alm. Salg,110 m² 18.182 kr/m²,5,1900,,Aktuel værdi
VillaVVilla Viborgvej 106  8600 Silkeborg,3.000.000 kr.,24-11-2025Alm. Salg,147 m² 20.408 kr/m²,5,1939,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Storegade 34, 1.  7330 Brande",2.500.000 kr.,24-11-2025Alm. Salg,115 m² 21.739 kr/m²,4,1906,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Nordre Fasanvej 167, 4. tv  2000 Frederiksberg",1.737.600 kr.,24-11-2025Fam. Salg,52 m² 33.415 kr/m²,2,1900,,Aktuel værdi
"VillaVVilla Bergmannsvej 96, Thurø  5700 Svendborg",1.550.000 kr.,24-11-2025Alm. Salg,112 m² 13.839 kr/m²,5,1914,4%,Aktuel værdi
FritidshusFFritidshus Smedelinien 34  4400 Kalundborg,2.650.000 kr.,24-11-2025Alm. Salg,71 m² 37.324 kr/m²,3,1971,-12%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Bygaden 1, 1., Døstrup  6780 Skærbæk",950.000 kr.,24-11-2025Andet,88 m² 10.795 kr/m²,2,1924,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Storegade 34, 2.  7330 Brande",2.500.000 kr.,24-11-2025Alm. Salg,84 m² 29.762 kr/m²,4,1906,,Aktuel værdi
"FritidshusFFritidshus Fjeldvej 10, Sandvig  3770 Allinge",2.600.000 kr.,24-11-2025Alm. Salg,56 m² 46.429 kr/m²,3,1960,,Aktuel værdi
VillaVVilla Haverupvej 27  4180 Sorø,4.050.000 kr.,24-11-2025Alm. Salg,166 m² 24.398 kr/m²,4,2008,-3%,Aktuel værdi
RækkehusRRækkehus Akacievej 39  7900 Nykøbing M,778.000 kr.,24-11-2025Alm. Salg,93 m² 8.366 kr/m²,4,1975,-2%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Bygaden 1, st., Døstrup  6780 Skærbæk",950.000 kr.,24-11-2025Andet,117 m² 8.120 kr/m²,4,1924,,Aktuel værdi
VillaVVilla Søndergade 48  6780 Skærbæk,850.000 kr.,24-11-2025Fam. Salg,97 m² 8.763 kr/m²,4,1966,,Aktuel værdi
VillaVVilla Nordre Molevej 4A  2930 Klampenborg,6.950.000 kr.,24-11-2025Alm. Salg,77 m² 90.260 kr/m²,3,1877,,Aktuel værdi
VillaVVilla Ydunsvej 11  9700 Brønderslev,2.200.000 kr.,24-11-2025Alm. Salg,145 m² 15.172 kr/m²,5,1983,-4%,Aktuel værdi
VillaVVilla Tvillingernes Kvarter 35  6710 Esbjerg V,2.464.666 kr.,24-11-2025Fam. Salg,153 m² 16.109 kr/m²,5,1984,,Aktuel værdi
VillaVVilla Jels Vestergade 32  6630 Rødding,700.000 kr.,23-11-2025Alm. Salg,140 m² 5.000 kr/m²,4,1852,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Helligkorsgade 2B, 3. mf  6000 Kolding",126.385 kr.,23-11-2025Andet,17 m² 7.434 kr/m²,1,1890,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Ålborggade 26, 1. tv  2100 København Ø",2.608.800 kr.,23-11-2025Fam. Salg,56 m² 46.586 kr/m²,2,1895,,Aktuel værdi
VillaVVilla Østergade 4  4581 Rørvig,8.195.000 kr.,23-11-2025Alm. Salg,90 m² 91.056 kr/m²,3,1875,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Skeltoftevej 6, 1. th  2800 Kongens Lyngby",2.805.000 kr.,23-11-2025Alm. Salg,65 m² 43.154 kr/m²,3,1944,-3%,Aktuel værdi
"VillaVVilla Øksendrupvej 33E, Mikkelenborg  5871 Frørup",800.000 kr.,23-11-2025Fam. Salg,91 m² 8.791 kr/m²,3,1850,,Aktuel værdi
RækkehusRRækkehus Obovej 20B  4700 Næstved,2.045.000 kr.,23-11-2025Alm. Salg,93 m² 21.989 kr/m²,3,2011,,Aktuel værdi
VillaVVilla Holstvej 21  9492 Blokhus,5.000.000 kr.,23-11-2025Andet,183 m² 27.322 kr/m²,6,1971,9%,Aktuel værdi
VillaVVilla Malervangen 6  2600 Glostrup,3.645.000 kr.,23-11-2025Alm. Salg,102 m² 35.735 kr/m²,4,1953,-1%,Aktuel værdi
"FritidshusFFritidshus Lille Amerika 20S, 204  8883 Gjern",811.000 kr.,23-11-2025Alm. Salg,62 m² 13.081 kr/m²,2,1990,3%,Aktuel værdi
"LandejendomLLandejendom Skævingevej 13, Store Lyngby  3320 Skævinge",6.250.000 kr.,23-11-2025Alm. Salg,217 m² 28.802 kr/m²,7,1971,,Aktuel værdi
FritidshusFFritidshus Rytterbakken 10  3390 Hundested,2.450.000 kr.,23-11-2025Alm. Salg,64 m² 38.281 kr/m²,4,1969,-8%,Aktuel værdi
"VillaVVilla Smalle Vorkvej 12, Vork  6040 Egtved",2.400.000 kr.,23-11-2025Alm. Salg,159 m² 15.094 kr/m²,4,1986,,Aktuel værdi
"VillaVVilla Møllevangen 11, Ramløse  3200 Helsinge",2.900.000 kr.,23-11-2025Alm. Salg,117 m² 20.280 kr/m²,5,1965,-3%,Aktuel værdi
VillaVVilla Østre Landevej 96  4930 Maribo,975.000 kr.,23-11-2025Alm. Salg,124 m² 7.863 kr/m²,6,1897,-11%,Aktuel værdi
VillaVVilla Kløverholmen 6  2630 Taastrup,4.350.000 kr.,23-11-2025Alm. Salg,143 m² 30.420 kr/m²,4,1964,-3%,Aktuel værdi
"FritidshusFFritidshus Vesterhavsvej 83, Vedersø  6990 Ulfborg",450.000 kr.,23-11-2025Fam. Salg,95 m² 4.737 kr/m²,4,1938,,Aktuel værdi
"VillaVVilla Hennekesdamvej 7, Jels  6630 Rødding",700.000 kr.,23-11-2025Alm. Salg,94 m² 7.447 kr/m²,3,1953,,Aktuel værdi
VillaVVilla Skyttebjerg 44  2850 Nærum,6.650.000 kr.,23-11-2025Alm. Salg,145 m² 45.862 kr/m²,6,1958,-1%,Aktuel værdi
"VillaVVilla Drigstrup Bygade 28, Drigstrup  5300 Kerteminde",1.203.538 kr.,23-11-2025Fam. Salg,153 m² 7.866 kr/m²,8,1881,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Sankt Kjelds Plads 10, st. tv  2100 København Ø",3.381.600 kr.,23-11-2025Fam. Salg,73 m² 46.323 kr/m²,3,1932,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Rumæniensgade 6, st. tv  2300 København S",4.450.000 kr.,23-11-2025Alm. Salg,78 m² 57.051 kr/m²,3,1930,-1%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Sundby Brygge 3, 2. 17  9400 Nørresundby",2.700.000 kr.,23-11-2025Fam. Salg,136 m² 19.853 kr/m²,3,2009,,Aktuel værdi
RækkehusRRækkehus Tornegårdsvej 28  2620 Albertslund,4.015.000 kr.,23-11-2025Alm. Salg,129 m² 31.124 kr/m²,4,2014,1%,Aktuel værdi
VillaVVilla P.C. Kochs Vej 10  6100 Haderslev,1.245.000 kr.,23-11-2025Alm. Salg,90 m² 13.833 kr/m²,4,1953,-4%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Constantin Hansens Gade 12, 1. mf  1799 København V",7.250.000 kr.,23-11-2025Alm. Salg,96 m² 75.521 kr/m²,3,2018,-3%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Tyreengen 16, st. mf  4220 Korsør",498.000 kr.,23-11-2025Alm. Salg,64 m² 7.781 kr/m²,2,1969,,Aktuel værdi
FritidshusFFritidshus Højsandsparken 28  4581 Rørvig,2.775.000 kr.,23-11-2025Alm. Salg,63 m² 44.048 kr/m²,3,1973,-7%,Aktuel værdi
"LandejendomLLandejendom Segenvej 24, Aarsballe  3700 Rønne",663.000 kr.,23-11-2025Fam. Salg,119 m² 5.571 kr/m²,3,1945,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Aksel Møllers Have 8, st. th  2000 Frederiksberg",1.887.000 kr.,23-11-2025Alm. Salg,51 m² 37.000 kr/m²,1,1944,,Aktuel værdi
EjerlejlighedEEjerlejlighed Maglekæret 24E  2680 Solrød Strand,2.150.000 kr.,23-11-2025Alm. Salg,77 m² 27.922 kr/m²,3,1986,-2%,Aktuel værdi
"VillaVVilla Strandvejen 7, Handbjerg  7830 Vinderup",550.000 kr.,23-11-2025Fam. Salg,106 m² 5.189 kr/m²,5,1966,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Helligkorsgade 2B, 3. tv  6000 Kolding",483.240 kr.,23-11-2025Andet,65 m² 7.434 kr/m²,2,1890,,Aktuel værdi
"FritidshusFFritidshus Stærevænget 35, Vellerup  4050 Skibby",1.200.000 kr.,23-11-2025Alm. Salg,62 m² 19.355 kr/m²,3,1980,,Aktuel værdi
